Sentence,Sentiment
"However , the total orders received will still be above last year s levels .",positive
Repeats sees 2008 EBITA above 18 pct of sales .,positive
The situation of coated magazine printing paper will continue to be weak .,neutral
"Thanks to its extensive industry and operations experience , Cybercom offers strategic and technological expertise to these markets : telecom , industry , media , public sector , retail , and banking and financial services .",neutral
"The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic .",neutral
$AAPL Nice RSI 33 bounce at 9:58,positive
"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week .",neutral
Peigs www.peigs.se will become part of Sardus Latta Maltider Light Meals unit .,neutral
$GILD chart: With $IBB back over support. https://t.co/GpRZ2UJFC4,positive
"The mill will have capacity to produce 500,000 tonnes of pulp per year .",neutral
"Ahlstrom , headquartered in Helsinki , Finland , is a global leader in the development , manufacture and marketing of high performance fibre-based materials .",neutral
Pivotal Research upgrading $GOOGL to buy.  https://t.co/LSahepdqhD    #stocktrading,positive
"Tikkurila has an interesting growth strategy , which we support .",neutral
"Currently , YIT builds a housing estate Zapadnye Vorota 26,000 square metres in the city and a house 9,910 square metres , which will be completed at the end of 2009 .",neutral
"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .",positive
"Kiosk and cinema operations have suffered , in particular .",negative
"The negotiation has resulted in the reduction of 80 people in regular employment , around half of which will be covered with pension arrangements .",negative
"$TXRH reports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.",positive
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,positive
"Operating loss totalled EUR 5.2 mn , compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 .",neutral
Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,neutral
