sentiment,title,text
negative,Ouch!,I like other Cellex C products and always thought a slight stinging just meant it was strong and effective. But the strenghth of this was alarming! It warns it is not for sensitive skin but they eye area in general is delicate. After two uses I was left with hard burned patches under my eyes which went away within a week. I do not have very sensitive skin. If you want industrial strenth eye cream this may be for you but for everyone else I'd say avoid it.
positive,Great Deal!!,The battery was shipped quickly and packaged great. The battery works great and we got an awesome deal on it!! Thanks!
positive,Learning to make rocks?,IF your learning to color rocks this is great. It showed me a lot. Well worth the price. I loved it. And it wasn't that badly priced.
positive,SIMPLY THE BEST,"I believe there is no equal in the industry to the ridged unequaled brute strength of Dewalt products. That is just one of the reasons that make this product so cool. These bags are equiped with all the pockets and pouches you can dream of and will ever need in the toughest most brutal lines of work. They are realy a great investment if you need and depend on the things you spend your green on, not to mention they look tough."
negative,The Dreamer's Guide to Money Loss,This is a fun read of very dangerous thinking. Check the Attorney General of Ohio's website.
positive,What a help,This book was truly a great help. I needed some ideas for the designs of my monthly newsletter. I am not a creative guy so this book was very helpful!
negative,"cheap, fake???","I received the item and it worked perfectly fine for a month, then it suddenly stopped working...It overheated by itself and won't charge my computer. The cord is perfectly fine too. Feels cheap and I don't think it's the official toshiba charger. It has three prongs and requires a surge protector. I would not recommend this charger"
positive,Memorex floppy disks/file box,"I really like this product because I raise dogs and I can put each dog on with different colored disks and just look for the color and its easier to find instead of looking and looking through all my black floppies to find the right one.Thanks again,Karon"
negative,it reloaded too many times,"I was disappointed with this purchase. If I pay to stream a specific movie, I expect it to play all the way through without ""skipping"". If I want low quality, I'll get a VHS."
negative,Really poor version,"This has been the worst, yet most expensive, text book I have purchased so far in Grad School. It is blurry, the fonts larger than size 12 bleed together. It looks like a photocopy of a photocopy of a photocopy. I am surprised a publisher would sell this edition."
positive,Take a chance on this book it's a sure bet!,I read this author's first book and very much enjoyed it but wanted to read another before getting excited. I am now officially excited. The plot was good and the cast were people I liked and could care about. Like her first offering I was sorry to see it end.Pick this up as well as her first book so you can enjoy the beginning of a big successful career. This writer is going to be big.
negative,mio heart rate watch,"The strapless feature is still a plus, but compared to other mio watches I have purchased for just a slightly higher price, this is an inferior product."
negative,I feel sorry for the author so that's why it's a 2 star,"The Green Book was a rather short book with a weak , unrealistic and childish plot. I am sure that a younger person such as a 7 or 8 year old might enjoy it more than i did because it has alot of stuff that only kids would enjoy. I would give it a one but i gave an extra star to the author who spent their time writing this book even when they could be doing something much more productive. Here is my bit of advice: Save your money (your local library might come in handy here)"
negative,Not a big fish fan,"I don't have any words of wisdom as to why I didn't like this movie. I just couldn't get ""into"" the characters, or the movie itself. It was really slow moving. Half way through it I turned it off. I was really disapointed because I had heard it was really good, but to me it was a waste of money."
positive,Never Falls Off!,"My Bradley instructor suggested this breastfeeding pillow and I have to say it was perfect for me. It stayed in the correct position throughout the feedings and was easily adjusted to different levels on my body as he grew in size and needed to be positioned differently. Those middle of the night feedings were so much easier because of all the support it provided me while I sat up in bed. I bought an extra cover so when he had big spit ups I could have one in the wash while using the other, that worked out great and the covers, I had the soft ones, handled being washed in the machine just fine. They came out looking new. I also had a Boppy, but only found it useful for tummy time for our son. It was an awful feeding pillow in my opinion."
negative,Awful Purchase From Wall Street Photo,The shutter does not open all the time and when I sent it back to Wall Street Photo they sent the same camera back to me again when I have asked for a refund....
positive,Where's the rest of the series?,"Hey~I read this series in 7th grade, I will now be going into 11th, and I haven't found a new book in the series! Help! I love Cherie Bennet because she tells the truth. Her newspaper column for teens used to be in my local paper, but halfway through the year they discontinued it. I was mad because I liked how she made her point, blunt and to the point. I really wish if anyone had any news on if the series ended or if there are more books that you could tell me. Thanks."
negative,"Bad, just bad...","I haven't seen anything beyond this first disc, and after seeing the first two shows I don't want to, either.The other reviewers say that it gets better in seasons 2 and 3, but it has not where to go but up. The special effects are terrible, the writing is sterile, and the lines are delivered stiffly. The characters are not remotely available, except a little bit for the girl who can read minds. All in all just a terrible show. And this is coming from a scifi fan who absolutely loves XMen - both in concept and for the actual movies.If you want to take a chance that the show gets better and want to start at the beginning - have at it. Otherwise avoid this clunker at all costs."
negative,Stop working after six month of intermidiate use!,"I would have loved to give it a 5 star...as the machine preformed well when it worked. The noise was good for us on level one, perfect on level two, loud on three. I only wish it would have lasted longer than 6months."
positive,Another tight Michael Henderson album.,"I'm sure glad i copped this one when it first became available on cd. He some tight funky tunes on here. ""We are here to geek you Up and Sling Shot"" are too funky dance floor tracks."
negative,Read the book instead,"I was very disapointed with this movie. They took a 4-6 hour miniseries and chopped it into a 2 hour movie. They cut the whole daughter story line out, which took out half of the plot and made what was left a pale and poorly made farce of the books story. With half of the plot gone it makes it very confusing and unenjoyable.I recorded this movie/miniseries off of the TV years ago and was glad to get a prerecorded version. Well I hope my recorded version lasts a long time.I hope they release it on DVD, but as the complete item and not this butcher job."
negative,bogart's mxpx,"I also saw these guys LIVE with mxpx, but wasn't all that impressed. Their bass player had good stage presence. However, there songs were kinda boring. There was a cool band that opened up the show called Too Bad Eugene and they were cool as a lang hole. mxpx took the show."
positive,Good book,This book helped my 5 year old granddaughter right after her parents split. It was good for her to see that other kids live in the same situation. She was able to identify with the two homes that her world became.
negative,Died after 1 month,"Well, I lost all my data within a month. The drive just died one fine day. I cracked it open and discovered the circuit board was burnt. I thought I could atleast get my data back by putting the drive in an external enclosure. No luck there as the drive itself seems dead. Well thats the last time I buy a Seagate. There are a ton of bad reviews about this thing on the net, so be careful. Buy it only of you don't care about the data you put on it."
negative,Cash-less and Troubled,"Cash-less and troubled - that's me after trawling though close to 400 pages of twaddle. Really just a cut-and-paste of various facts and theories, lumped amongst some very poor fiction. The characters are all one-dimensional stereotypes, and the central character (""Joe"") just seems to want to kill anyone in order to get his own way - is this Christian; or how about trust in Jesus? I would think that Christian fiction, whatever that may be, should at least lead the reader to a sense of deeper faith or wanting to know more. This book does neither. Beware ... deception at work. This book is will only leave you with the empty feeling of having wasted your hard-earned money and more importantly, time. It troubles me that some very smart people have put their name to this. In Christ."
positive,Some New Twists on an Old Story,"In this version the Connecticut Yankee is an engineer who just graduated from college. He loves to experiment with mechanical devices and when one experiment goes badly, is knocked unconscious. He awakes to find himself in the Court of King Arthur and proceeds to get himself into all sorts of predicaments when he tries to bring T.V., radio, air travel, and football into their world. Production notes are included. I recommend this play for middle school students as an entertaining way to enrich the study of the literature of Mark Twain."
negative,Some Magical Moments in MGM Mishmash,"For those who grew up watching Gene Kelly's ""Singin' in the Rain"" and ""On the Town,"" the MGM mishmash of ""Anchors Aweigh"" (1945) will prove a disappointment. Nevertheless, there are some magical moments. The film's highlight is Gene's breakthrough dance with Jerry the Mouse - a stunning fusion of animation and live-action. Along the way, Frank Sinatra sings a few memorable numbers amid the Technicolor splendor. However, you must keep your finger on the fast-forward button to encounter these gems. Running 140 minutes, it's obvious that the editor fell asleep at the Moviola. Though directed by the usually reliable George Sidney, one wishes Kelly had more creative control over this unwieldy project."
negative,Be very careful,If you don't have furniture that will fit very well into the sunken circular hole then you're better off just putting the $20 under it. I have a daybed with tapered square legs and these raised it up but it wasn't very sturdy. When I moved it a bit one of the tabs on the side popped off. From the picture you would think that this is all one piece of wood but really those raises corners are glued on and aren't going to hold anything. I ended up going at them with my drummel tool and widening and squaring the openings so that the legs would at least sink into them. Even after all that I'm glad that it's up against a wall. While the plastic ones look a little cheap at least the fact that they flare out at the bottom give them much better stability. If your furniture fits in the plastic ones go with them.
positive,I own three and love them all,"I own three, yes three, of these gates, to reign in my gloriously active, insane 15 month old. He rattles them, teethes on them, and slams them closed (when I forget and leave them open) -- and not one move out place, scratch, or dent on my wall. They are all in high traffic areas, too. They open and close shut very easily and install in minutes. I was very lucky -- my first attempt at buying a gate and I found a great one on the first shot. Highly, highly recommended."
negative,didn't like too hard to hold baby in it,i am a new mom so maybe that is the reason I don't like the tub. it is too high of an angle to wash a newborn. it is too hard to hold the baby with one hand and wash with the other. maybe when she gets older and has head control it will be better
negative,"Seems good, but subtle errors","FIrst thought the book would be good and seemed to give a decent overview. Was first cautious however when there was no official ""nothing against faith or morals"" Nihil Obstat mark that usually accompanies Catholic texts. WHile there were many good insights made about the Church, there were also some unfortunate comments about contraception and women's ordination that simply lies outside the mentality of the Catholic Church's official teachings. Making such statements tends to weaken the case for the intent of the book as being a guide. With the popularity of the ""idiots guide"" series, this book unfortunately makes the title more fulfilling than its attempt to do otherwise."
negative,Broken in 3 month,I bought this headphone 3 month ago and it is already broken. I cannot hear anything from right side. Too long cord is also bothering. It was first headphone for me and I am so disappointed at senheiser.
negative,NOT USER FRIENLY!,"The only good feature is the display great for a nite lite and seeing CID in the dark. The on/off for the ringer is located in the back. What a pain, have to pick up and turn around to operate ringer switch. Husband is shift worker so the phone gets turned on and off frequently. Elderly mother, so needs to be on when both parties sleeping. To set the alarms takes two hands, one on each side of the unit, and every time you hit an alarm button or setting buttons, it beeps. Not good for setting alarm in dark while spouse is sleeping. If the wrong button is hit while setting alarm, then have to go thru the whole setting process, Date, time, contrast. Much too difficult to operate, in low lite. Reasonable price but not worth it for the difficulty in setting alarms and ringer. Very low quality, in features. Not at all user frienly. Am returning the phone and will spend 3 times as much to get user friendly features, that are considerate of the sleeping spouse."
positive,A must for any sea kayaker,"Whether you're a begining paddler or someone who's been paddling for a few years, you'll be able to get something out of this tape. It features a number of well-known West Coast sea kayak instructors demonstrating paddling strokes, braces, rolls, and other techniques, all shown in a way that clearly illustrates what a properly done stroke or roll should look like. It also has good advice on trip planning, dealing with current and tides, and many other details.I bought this tape based on a review in Sewa Kayaker magazing that couldn't praise it highly enough. I wasn't disappointed. After four years of paddling, this tape showed me what I needed to know to move my bracing and recovery strokes up to the next level."
positive,A good read,This was a page tuner for me. Dahlia was very brave while also being very stubborn. Nico had that quiet determination. cannot wait to read the next book.
positive,Well done and needed,"True to its name, it speaks to our situation(s) here in America and it lines up to what the scriptures say."
positive,Excellent utility,"I bought the pine version of this item. It's very nice looking. The three, separately removeable, bags make it ideal for carrying laundry to the washer. It is a much better solution to sorting laundry than separate plastic bins or a sorter where the bins are not separate or removeable. The frame is pretty sturdy but could have been braced a little better. Mine has held up fine for two months. I like it."
negative,useless video,"this instructional video is of no use , you can learn more just by pushing buttons on unit. shows features and does not show how to use them at all. you can scroll down your menu and do the same thing!"
positive,I kid you not-This is good!,"Humphrey Bogart ia in one of his classic roles and those Fred MacMurray fans used to him as a doting father(My Three Sons) or a slightly addled good guy (Disney movies, notably The Absent Minded Professor) are in for a surprise as he hangs his colleagues out to dry. The typhoon sequence makes the film as well as a compelling case for Queeg's insanity. While Bogey's performance isn't up to Casablanca standards(and mothing is) he is certainly compelling. It's an enjoyable watch and can still pack a wallop."
negative,Repeat of crappy music.,"As far as I'm concerned, these guys are just like Good Charlotte. Completely untalented. I've heard this before. Their songs get old fast. Perfect annoys me. It's just a bunch of whining. I'm Just A Kid is more of the same. God, no more of this."
negative,American Con Artists,What a disappointment. The History Channel has really stooped low in airing this latest reality series. We have two 40 something guys (are they lovers) going around and ripping off granny and gran pops precious heirlooms and antiques.-It's called ripping people off when you offer pennies on the dollar for what something is actually worth.-A better show would be one where the old folks get revenge on these two turd bombers.
positive,Thor DVD,"It is what it is. Basic DVD, no frills or special packaging obviously. In good condition, crisp plastic wrappings so it should play well and play well."
positive,this does NOT sound like the Gaither Vocal Band,"For some time now, Russ has been part of Bill Gaither's gospel quartet, singing for blue-heads who can appreciatively close their eyes and nod dreamily to tranquil renditions of old-timey standards. But on ""The Way Home"", the man is unrestrained--and the result is one of the most powerful vocal performances on record, bar none. An outstanding collection of rock/gospel songs, crowned by the gorgeous, accordion-and-reverb-guitar ballad, ""I Cry."""
positive,"If you're looking for a good book to read, this is the one.","I think that this novel is terrific. This book is about a boy and the adventures he has with his two dogs. The bond between Billy and his dogs was unbreakable. In the end, it was his dogs who saved his life. Wilson Rawls is an excellent writer. The beginning of the novel was okay, but the ending was beautiful. The ending was really sad, and I even cried a bit. This novel is simply something too beautiful to be put into words;you'll have to read it for yourself to understand what I mean. All I can say is that this book is one that you definitely don't want to miss."
positive,Heat for Sleep,This is a great price. I bought them for someone who had a bone marrow transplant and was having terrible leg pains from meds. They gave her hours of heat and relief during the night.
positive,My MSU Fan loves this!,"I'm a skeptic with every online purchase, but I was pleasantly surprised. My future MSU student truly loves his new watch."
positive,good but not perfect,"I find the following shorts:1. I can still found the difference in the touch between it and a acoustic piano.2. When someone is using a cell phone nearby, it starts to beep: be be beeeee be beeee be....However, more money is needed to overcome such problems. Basically, it worth the money."
positive,Wonderful reference book for cottage gardeners,"I have owned this book for several years, and recently got a copy for a friend who is also into cottage gardening, and loves all things British. This book is chock full of ideas to help one create a beautiful garden. It is not a ""How to"" book, but a reference to help stimulate your own imagination. The photography is lovely, and the text is overflowing with information. I would (and did) buy this book again and recommend to anyone who loves English or cottage gardening."
negative,"For a supposed heartthrob, he got some big ol' lips.","Where would Abercrombie and Fitch, the Gap, J. Crew, and other stores that sell overpriced preppy clothes made by impoverished third-world children be without John Mayer? His music provides a perfectly bland accompaniment to the tough decisions that plague our nation's youth, like whether to get a rollneck sweater in pumpkin, cranberry, or periwinkle."
positive,Fantastic!,"It's a great album! Rap, hip-hop, soulful R&B all wrapped into one. She definitely has a soulful and powerful voice. A MUST to buy album!"
negative,Too verbose and not a good reference.,"The book wastes too many pages on how toconvey information, e.g., use headers thatlead the reader, use concise language,organize paragraphs in logical sequence.Excuse me, but I thought I am suppose tolearn about HTML, not high school English.Also, the book doesn't describe key HTML areasvery well: tables, colors of background and selectabletext, inserting your own background image.The structure of the book is not obvious soit is hard to use if you need to quickly lookup the syntax for an HTML tag. I have purchasedanother book to act as a reference. As matterof fact, I found many other books in the marketthat are much better at explaning HTML."
negative,Could not get into it,I don't know why but I just couldn't get into the story. After about 40% into the book I finally just gave up and closed it down. I still have it in my Kindle but believe me I will read everything else I have first and the. Might even pay for more books before I try to read it again.
positive,great continuos fun you get your monies worth,This is a great product. Very easy to collaspe and put away and my daughter loves it. Still asks for it about twice a week. She is almost two years old. Only complaint it does not attach well to the pop up house I have but good enough. Definately reccommend.
positive,Painful Choices...,"When mel learns that she actually WILL have to move back to the cuty, she's upset. yea, she can ride at the riding school, but...she left and didn't come back since the death of the horse she was riding out in the streets. All blamed her for it.However, Melanie soon learns that she gets to take her fave lil spunky pony, trib, with her. However, in the city...trib grows gloomy and depressed. He doesn't belong in the hustle and bustle! he belongs in the white fences and sprouting green grass and throughbreds at Whitebrook. The vet soon dtermines that trib is under dperession.melanie is upset. She won't go top see trib till break! Fianlly, her father signs over the guardianship to The reeses. Melanie can now call Whitebrook home-for good."
negative,"Worthless, don't waste your money","All of the other books I purchased on buying a home in France were far superior to this one, which provided only anecdotal information that was not helpful at all."
negative,Fast shipping but incomplete,"I recieved my item on time and earlier than expected. However the book was incomplete, missing half of the pages."
negative,Go back before it's too late ...,"I'm concerned my son has suffered brain damage as a result of watching this ""movie"" ... it is an insult to our children's intelligence. He thought it looked promising and begged, so there we were. Halfway through, he turned to me and said, ""Hey, at least we can make fun of it and be sarcastic like those robots, right?"" It is jerky, random, and poor in quality, makes blatant use of beaten-to-death stereotypes and at most points makes you want to think about your grocery list. Please don't make the mistake of buying/renting/telling others."
negative,Another Blues Sell Out,"Tone Cool has taken another great, honest blues artist and made them overly commercial by infusing rock and roll. ""Times They Are A Changing"" was a great blues CD, very close to the live performance I saw in September. Sure, BA has some rock tendencies, like his Dad did, but he had stayed true to the blues idiom up until this label switch. I give this CD 2 stars because I just can't get into it. If you are an EC or JH fan, then you would probably enjoy, but if you are a blues purist, better look elsewhere."
negative,Beware of quality issues,"We ordered this toy from Drugstore.com, which showed a picture of an older model, not the new ""upgraded"" toy. The idea of this toy is intriguing but the actual execution of the idea is less than stellar. The ""music"" is tinny and unattractive. Apparently, the older model had better sound quality, which is why I went with this vendor. However, communicating with Drugstore.com and the whole return process is a significant hassle. The also blamed the deceptive picture they used on a glitch with the manufacturer. I would actually recommend either getting a used model with all purple corners (the older model) or buying it at a brick and mortar location so you can actually listen to it. If you are going to purchase on Amazon, consider another vendor. Very disappointed. I will not do business with this vendor again."
positive,"Ooh, Chris O'Donnell, Ooh, Minnie Driver","I have loved this movie since I first saw it over 10 years ago. I'm so glad I found a copy here, because it's still, such a wonderful film. Minnie Driver is incredible, a lovely trainwreck, and Chris O'Donnell is so lovely."
negative,Disappointing,I am great fan of Sherlock Holmes and of Christopher Lee. I regret buying this DVD - th B&W; movie looks all washed out - the dubbing is comically bad and the voices - to rob Christopher Lee of his voice - borders on the criminal.I could not even finish watching it - its that bad!Don't buy this - even if you are a fan of the Great Detective.
positive,5-star-movie: Joy Ride,"This movie has it all.... fear, anticipation, and even some black humor in the right spots! When they say its a ""White knuckle thriller"", they are right on! I was on the edge of my seat squeezing my husband's hand the whole time !!"
positive,Timeless.,"I thoroughly enjoyed the book. It was interesting, well-written, and true to life. It portrays the 1950s in a way that's often ignored - the darkside. Fascinating. I would recommend it to anyone who is interested in a philosophical look at human beings."
negative,Don't Read the Book.....,Everything you need to know is already out there. Eat every three hours. Keep your blood sugar stable. Pick healthier choices if you can. Exercise a little. I got all the info from the media and I had lost 10 pounds before even buying the book. I read the book and got nothing new from it. Don't bother. Just do the diet. Its great!
positive,Bacteria Treatment,Wouldn't use a humidifier without this treatment! Need it to prevent mold and mildew. Will probably order again next winter.
positive,Charlie's Adventure!,I Love this book!Roald Daul is genuis.And it is better than the movie!Look for the movie remake this year(in 2005) in July!
negative,amazing and unbelievable,This production is so bad that no words could do justice in describing it. You would have to be godlike and have a masochistic streak a mile long to get through the entire production.
positive,One of the best cocktail party topic books ever,"""Freakonomics"" is a gold mine of interesting facts and trivia, including how much money a crack dealer makes, the life cycle of popular baby names, how sumo wrestlers work the system and how the Chicago school system caught teachers cheating on standardized tests.It's not a lot more than that -- the book is openly just an extended magazine article, and not a particularly critical one at that -- but it's a quick and interesting read; I knocked out most of it in a single transcontinental plane flight. And, honestly, when's the last time there was a quick and interesting read about economics?The book could use both more length and depth, but hopefully that will come in the form of a sequel.Recommended for those looking for a fun and interesting quickie read. Not so recommended for those hoping this is a profound work that will somehow change their life."
negative,"condition of book fine, substance light","It took longer than I expected to receive this product, although within time estimates given. Condition of book was fine for a used book, although the substance was mush. I wouldn't recommend reading it."
positive,Nice light read,Although farfetched in some places the story was a lighthearted tale of a daughter's search to understand her dead mother. I find myself wanting to read the next book about what happens next.
positive,Crime/Mystery with a Philosophical Twist,"Directed interestingly, acted well, written heavy-handedly. Aside from the use of color, the directing has nothing on any other high budget action movie. Of course, these are well directed for their purpose. Morgan Freeman acts very well, Paltrow acts as she always does, and Brad Pitt is Brad Pitt. He wasn't always convincing, but this I'll blame on the writer giving him an impossible, unconvincing character. The writer was preaching, and he preached an interesting movie. But if you want to see the same message preached more intelligently, watch David Lynch's ""Blue Velvet."" To give ""Seven"" its due, it preaches less blatantly than BV, but also less brilliantly. In the end, it is slightly more intelligent than the average big budget movie, but it is not perfect. It's worth watching, maybe twice, but not buying."
negative,"A bore, simple as that","British Sea Power are being lauded as an eccentric English band with songs about the North Pole ( Oh Larsen B ) and playing concerts at the Chelsea Flower Show but they are so crushingly boring it's unreal. Admittedly the album starts off nicely but within 2 or 3 songs you notice that it becomes more of the same stuff again and again. The production on this is horrible as it just gives off a horrible lumpiness to the proceedings. If it were handled with a little more care, perhaps it might have sounded less forced. To their credit though the band have admitted this and that's fine by me.Incidentally, they've been playing a freeform gig with legendary Krautrock gods Faust. Apparently the drummer was doing one of these long drum solos which pissed off the lead singer of Faust so much that the singer went over and started punching him in the face and led to a bit of a brawl. The drummer ended up with a black eye. Ouch"
negative,I Had a Good Time...returning this CD,"Tom Sholtz and his Cosmic Cosmo Crew have created what is arguably the cheesiest bunch of ""songs"" on this planet. Chester Cheetah must love this one. Wanna do it again? NO!"
positive,A Black Metal Masterpiece!,What more can really be said this is Dimmu Borgir. In extreme theatrical black metal style they deliver another masterpiece that will keep them on top in their genre. They take some getting used to which I'm still working on but you can't knock these guys for the talents and abilities they demonstrate in this album. It is finely produced at every point and like other cds by this band you get a eerrie evil feeling listening to them which means they are good at what they do. If you like black metal then dont fail to pick this new one by Dimmu Borgir you won't be disappointed by any means.
positive,Great reference book,"As an anatomy reference for artists, this book is fabulous. I have not yet seen its equal. It has detailed drawings of all the bones and muscles of the body from multiple angles, and goes through the layers of muscles as well (again, from multiple angles), showing where the muscles connect to the bones. It also has useful text descriptions for increased clarity where pictures might not be enough (such as explaining the function of a muscle).It isn't a good book to learn anatomy from, but I recommend it whole-heartedly as a detailed anatomy <em>reference</em> for artists who already have a decent understanding of human anatomy."
positive,A superb R & B album - every song is excellent,"Winwood's Roll With It is one of his very best works. The songs all have infectious R & B rhythms which show Stevie's sense of soul. The title track, ""Holdin On"" and ""Don't You Know What the Night Can Do"" are the album's highlights. The arrangements do not show the subtle complexity of sounds present in more recent works, but the songs are pure magic."
negative,Buyer beware,The book did not look new. Looked as if it was sitting on the shelf for years. I was not happy with the appearance of the book.
positive,StoneWords is a book about a little girl and her ancester.,"StoneWords is about a little girl named Zoe ,and her ancestor named Zoe Louise.Everyday the girls would get together and play with their dolls.Until one day on Zoe Louise's birthday, there's a tragic fire that takes Zoe Louise's life. Zoe's garden has rose bushes in the loving memory of Zoe Louise,planted by her dear mother.Zoe feels guilty about Zoe L.'s death,because Zoe had already once saved Zoe Louise from being killed! This book is an excellent book, who knows, maybe one day you'll get to meet your ancestors!!!!!!"
negative,Logitech headsets,Sound is great. quality is great. The only problem is that it cannot be used for long at a stretch because ears start aching after sometime. The bar of the headset could have been adjustable.
positive,Ok gun... good for price,"I bought it right after seeing that it was a semi and full automatic pistol for such a low price. It has been working good for me, rarely jams, but sometimes it your too careless with it, the batteries fall out of the bottom on to the ground. As for performance it hurts at close range and is accurate at about 20 feet. If you need a cheap pistol like I did, I would get it, but if you have some extra money, find something better."
negative,Glimpses of other's psychosis,An extremely practical friend recommended this book and said a very reputed woman had written it etc. This is just the same old extremely bizarre totally unlikely science fiction. I have never believed anything about alien abductions and still don't. Two men in England started the crop circles and have been doing them for years. This book was very disappointing and I am embarassed that I paid money for it.
positive,Metaphysical Classic,Back in the 70s my mom asked me to check this out from the library for her. Back then I really didn't care much about this type of subject matter but have recently begun to search for the truth about our reality here on earth and in this universe. This book is one of the first of its kind and is a classic in the genre. It contains some good insights and is a good part of any personal Metaphysical/Spiritual curriculum.
positive,"For what it is, it's great","Let's say you need to drill some holes in concrete, maybe necessitating having access to a hammer drill for several days on different occasions and you don't want to hassle or pay the price to rent one. This is a great item. It ain't heavy industrial vintage, but it gets the job done for what it would cost to rent one."
positive,great water bottle,"based on the previous reviews, I purchased this bottle. I've been using it for a week and can report that this bottle is worth its cost. It does NOT sweat, it fits into my purse, and it keeps ice cubes solid over night. Do not hesitate to purchase this product. I'm thinking about buying one for hot liquids also."
positive,Great DVD Player,"I got this for my husband recently for a Father's Day gift and he was so very suprised that he now owns one. He, at one time thought that maybe next year we can get it, but my cousin convinced me that it's worth it. So far, so good. I have a membership to Netflix and we rent 3 DVDs at a time and all three sound so fabulous. The most impressive one was Pulp Fiction. It really sounds like you are in a cinema. This is a must buy."
negative,Not-so-Shocked,"K.A. Applegate is slowly displeasing most of her younger fans. Twisted plot lines, uneven endings, and shorter books just keep coming. Terrible. I expected so much as this series got farther and farther. Each time I have been disapointed. Though I find myself slowly growing out of these books, I still enjoy reading about my favorite characters, Rachel, Cassie, Marco, Jake, Tobias, and Ax. Please think about what you are looking for when you buy this book."
positive,Great series,Fantastic set of the Inspector Lewis series from the beginning episode - fills in some gaps that I have missed watching the PBS intermittent showings.
positive,"Not what I expected, but it grew on me","I'll admit to being disappointed when this book first arrived (a couple of years ago now). I must not have paid very close attention to the details and was expecting something different. However, I came to enjoy reading about how Halloween was celebrated in its Golden Age.The one complaint I have about this book has been stated by other reviewers as well: the illustrations are too small! Many of the images would be SO much better if they were larger. (The desktop publisher in me also *cringes* at the page layout!) More pages with larger graphics would have resulted in a better book (and five stars from me)."
negative,Make that a zero.........It doesn't warrant a star,"...Should be called ""For Women: How to kiss up to men, pretend their mistakes are okay, their forgotten duties are okay, never correct him, and allow them to take no responsibility in the workplace, even the men that can't remember your name""Perhaps as long as he notices you when you are looking particularly good and gives you a non-sexual compliment it's okay, eh? (from the book)This book takes the idea of equality back about 200 years, but in a smarter more devious way..."
negative,oh boy is this mislabelled,"I played this during a massage, as generally music that is advertised as relaxing or romantic makes good massage music. This one started out all right, it advertises itself as ""exquisite melodies for that perfect evening."" But there is a 13 minute organ selection that sounds like a funeral. And then there is the March of the Toreadors. I was trying not to laugh until I realized my client was snickering - we both laughed pertty hard. Just so NOT relaxing or a good match for ""that perfect evening."""
positive,Another Lori Foster winner..,"There are some authors that you know always write engaging novels that you cannot go wrong with- Lori Foster is one of them. The Men of Courage series introduced Riley and Regina and finally Riley has his own story.Riley is an ex Swat team member who runs a gym as well as works as an evidence technician. He meets Regina, a journalist, when she comes into his gym looking for some self defence training. The police do not believe her, but Regina fears that her life is in danger. She gets a ""guard"" dog and much of the book's comedy revolves around her 4lb pet chihuahua ""Butch"".This story is humerous and well written, Riley and Red are a good match. The added mystery of who is putting her in danger is a nice bonus, plus the antics of the cute little dog will keep you turning the page. Another winner!!Be sure to read the Men of Courage anthology first- Ethan's story will introduce you to Riley and Red."
negative,"won't work on 1 1/4"" drain","the manufacturer claims that this drain key will work on both 1 1/2 and 1 1/4 inch drains. however, the tool has a stepdown (the smaller part at the end of the aluminum spreading part) that is supposed to be used for 1 1/4 inch, but it does not have anything to grip the inside of the drain like the part for 1 1/2 inch does. basically, it will just spin inside the drain. you can't get it tight enough to work. there are better options for removing a drain than this. if you are patient and have some confidence, just use a chisel and hammer."
negative,Don't Waste Your Money,"Unless you are a teenager trying to shave off a little peach fuzz, the 3612 won't do the job.The motor is so weak it almost stalls out on anything heavier than even a moderate overnight growth.The small foil will most likely wear quickly due to it's small surface area and is a joke compared to my old Braun 2000. Using the 3612 makes me long for my old 2000 back, too bad they don't make those anymore.Braun has discontinued the 3612 and I don't think I will shed any tears over that."
negative,You sent the wrong product,You mailed to me Xenit Mold Cleaner. So I still don't have the Xenit Citrus Cleaner and Remover - 10 oz. product.I can't rate it.............I never got it..............but if I have to rate so you can get this message I will.
positive,No Problems So Far!,"I bought this for a plane trip in February. I still use Cds but it was too much to carry, so I figured I could download them to this. I've never had a problem with this until I LOST THE USB Cable. It downloaded music without a problem. I've been looking to find one cheap just for the Cable, but nothing so far...If someone is willing to sell me their USB Cable cheap, please let me know."
negative,No improvement at all,"I bought the product based on many positive user reviews, but now I wonder if they were all comments from people affiliated with the seller?! I have used the product diligently since early November, but my nails are the same as they were before. I'll give it a few more weeks. If no improvement still, I plan to look up their return policy and return the product."
positive,A very good reference work,Short biographical sketches of prominent living Jews are the heart of this volume. Unfortunately if the last issue is 1990 it is dated and of limited value. The edition I have of this work was at one time very valuable to me. It helped me learn about a large number of people whose names I knew but who I knew little about.
positive,A Must Have!!!,"This live version album is a must have for all Sonia Dada fans. They sound amazingly wonderful in concert as they do on their albums. Unfortunately, it appears they won't be back together anytime soon. :( Sonia Dada deserves more commercial success than they received and are truly a group of gifted and talented musicians."
negative,Too small; No compartments,"I was very disappointed in this case. The 12 amp 4-1/2"" grinder won't even fit with the cord attached. Nothing to keep the tool from flopping around inside. I saw the case that was included with the 4-1/2"" 8 amp grinder, and it showed a bracket for the tool and a quick reference guide for disc selection.Come-on Milwaukee; you built the tool well, surely you can put together a case that's matched to the tool. Especially for $34.50.VERY DISAPPOINTED!!"
